City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
362,singaraja,-8.112,115.0882,299.73,79,38,2.78,ID,1700496765
363,dakhla,23.6848,-15.958,300.16,47,0,4.12,EH,1700496766
364,klaksvik,62.2266,-6.589,276.66,66,25,1.52,FO,1700496468
365,okawara,38.05,140.7336,279.53,67,3,2.6,JP,1700496766
366,ercis,39.0287,43.3586,277.75,84,100,2.41,TR,1700496766
367,floro,61.5996,5.0328,278.69,75,0,2.57,NO,1700496684
368,namtsy,62.7161,129.6658,258.13,97,100,1.54,RU,1700496767
369,dedovichi,57.5517,29.9502,269.61,90,100,1.3,RU,1700496767
370,veraval,20.9,70.3667,300.02,60,6,1.74,IN,1700496767
371,taunggyi,20.7833,97.0333,287.83,96,4,0.49,MM,1700496768
372,amga,60.8953,131.9608,262.63,96,100,1.1,RU,1700496768
373,sur,22.5667,59.5289,298.8,62,15,3.46,OM,1700496768
374,la libertad,-2.2333,-80.9,299.96,74,75,4.63,EC,1700496769
375,nizhnyaya tavda,57.6731,66.1725,265.42,86,23,1.61,RU,1700496769
376,lipno,52.8444,19.1785,274.94,99,100,2.84,PL,1700496769
377,fort-shevchenko,44.5086,50.263,285.64,96,100,6.44,KZ,1700496770
378,oranjemund,-28.55,16.4333,292.82,80,77,7.89,NA,1700496614
379,wangkui,46.8333,126.5,272.61,92,30,4.79,CN,1700496770
380,el calafate,-50.3408,-72.2768,281.13,53,17,2.83,AR,1700496656
381,kadugli,11.0167,29.7167,302.76,25,58,3.73,SD,1700496771
382,tucuma,-0.1833,-50.05,303.32,66,100,2.86,BR,1700496771
383,mpulungu,-8.7623,31.1141,299.56,65,88,1.93,ZM,1700496771
384,coahuayana de hidalgo,18.7,-103.6583,301.66,76,65,1.52,MX,1700496772
385,uba,-21.12,-42.9428,295.13,96,100,1.38,BR,1700496772
386,port lavaca,28.615,-96.6261,299.18,87,100,5.14,US,1700496772
387,cadale,2.7603,46.3222,301.9,74,60,5.99,SO,1700496773
388,christchurch,-43.5333,172.6333,283.68,82,40,2.57,NZ,1700496614
389,ulanhot,46.0833,122.0833,273.37,66,35,3.17,CN,1700496773
390,kurayoshi,35.4333,133.8167,281.2,75,3,1.99,JP,1700496653
391,fisterra,42.9049,-9.2629,288.57,68,39,9.22,ES,1700496774
392,clitheroe,53.8667,-2.4,284.98,97,74,1.71,GB,1700496774
393,khonsa,27.0167,95.5667,287.8,96,7,1.8,IN,1700496774
394,port moresby,-9.4431,147.1797,297.66,89,96,1.37,PG,1700496775
395,westport,41.1415,-73.3579,279.4,41,0,5.14,US,1700496775
396,aripuana,-9.1667,-60.6333,310.34,32,100,1.55,BR,1700496775
397,paka,4.6374,103.4368,298.3,90,100,3.38,MY,1700496775
398,greymouth,-42.4667,171.2,283.55,93,38,1.56,NZ,1700496776
399,aksu,41.1231,80.2644,278.66,33,1,0.96,CN,1700496776
400,thisted,56.9552,8.6949,278.26,86,100,6.76,DK,1700496776
401,mejit,10.2753,170.8646,300.9,69,35,9.35,MH,1700496776
402,kavarna,43.4333,28.3333,280.75,74,21,2.74,BG,1700496777
403,tefe,-3.3542,-64.7114,301.21,74,0,0.0,BR,1700496777
404,hami,42.8,93.45,279.2,32,100,1.25,CN,1700496503
405,paungde,18.4833,95.5,296.69,84,24,2.77,MM,1700496777
406,mont-dore,-22.2833,166.5833,292.14,77,45,3.43,NC,1700496778
407,naracoorte,-36.9579,140.7383,282.73,91,100,3.41,AU,1700496778
408,baiyin,36.5583,104.2081,277.66,28,33,1.06,CN,1700496778
409,port-cartier,50.0334,-66.8654,271.34,54,4,5.23,CA,1700496778
410,hasaki,35.7333,140.8333,280.37,48,0,3.0,JP,1700496779
411,grand falls-windsor,48.9332,-55.6649,276.76,63,16,0.89,CA,1700496779
412,mawu,29.5923,107.3139,285.83,74,0,1.02,CN,1700496779
413,bathsheba,13.2167,-59.5167,303.49,74,20,7.72,BB,1700496780
414,dinard,48.6314,-2.0614,285.53,93,100,5.14,FR,1700496780
415,oeiras do para,-2.0031,-49.8544,308.53,40,81,2.1,BR,1700496780
416,jimma,7.6667,36.8333,290.87,89,64,0.56,ET,1700496781
417,mumford,5.2618,-0.759,301.67,73,38,4.95,GH,1700496760
418,whakatane,-37.9585,176.9854,289.75,95,91,0.45,NZ,1700496781
419,rawai,7.7797,98.3253,303.14,64,100,6.8,TH,1700496781
420,shuangcheng,45.35,126.2833,275.55,91,12,8.21,CN,1700496782
421,villa gesell,-37.2639,-56.973,301.51,30,97,11.18,AR,1700496782
422,sira,13.7453,76.9092,296.47,77,100,4.81,IN,1700496782
423,bel ombre,-4.6167,55.4167,301.06,78,20,1.03,SC,1700496782
424,mendota,36.7536,-120.3816,279.97,58,3,3.26,US,1700496783
425,peace river,56.2501,-117.286,269.63,64,30,1.08,CA,1700496783
426,newberry,34.2746,-81.6187,289.36,42,100,3.55,US,1700496783
427,el granada,37.5027,-122.4694,286.68,54,0,4.12,US,1700496783
428,lorengau,-2.0226,147.2712,300.84,83,65,3.26,PG,1700496784
429,nuku'alofa,-21.1333,-175.2,297.34,88,75,3.6,TO,1700496784
430,palasa,18.7667,84.4167,297.81,69,100,3.12,IN,1700496784
431,mossel bay,-34.1831,22.146,296.11,69,100,5.85,ZA,1700496706
432,st. john's,47.5649,-52.7093,277.19,75,18,1.34,CA,1700496785
